State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,NA,85,12,48,31,23,38,7,0,Moderate
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,NA,79,23,46,30,25,38,5,0,Moderate
Madhya Pradesh,Sagar,Pt.Deendayal Nagar,532,RIRuO,NA,86,5,21,13,8,16,3,0,Low
Madhya Pradesh,Singrauli,Jayant Township,515,RIRuO,NA,15,24,27,25,25,26,1,0,Null
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,NA,15,24,27,25,24,27,1,0,Null
Madhya Pradesh,Singrauli,Waidhan,516,RIRuO,NA,17,24,26,25,24,26,1,0,Null
Madhya Pradesh,Ujjain,District Office,527,RIRuO,NA,75,11,24,18,15,22,3,0,Low
Madhya Pradesh,Ujjain,Regional Office,526,RIRuO,NA,35,9,12,10,9,10,1,0,Null
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,NA,70,10,14,12,11,13,1,0,Low
Maharashtra,Dombivali/Ambernath,Dombivali MIDC Phase-II,265,RIRuO,NA,58,51,194,88,58,117,27,62,Critical
Maharashtra,Dombivali/Ambernath,Ambernath Municipal Council Office,445,RIRuO,NA,59,48,173,87,58,131,28,53,Critical
Maharashtra,Amravati,"Apurva Oil Industries, A-23, MIDC",549,RIRuO,NA,98,11,17,13,12,15,1,0,Low
Maharashtra,Amravati,"Elect. Dept., Govt College Engineering",548,RIRuO,NA,83,10,17,13,11,14,1,0,Low
Maharashtra,Amravati,"Rajkamal Square, Vaneeta Samaj",547,RIRuO,NA,91,10,19,14,12,16,1,0,Low
Maharashtra,Aurangabad,S.B.E.S. College ,511,RIRuO,NA,103,22,48,32,25,44,7,0,Moderate
Maharashtra,Aurangabad,Collector Ofiice,512,RIRuO,NA,104,21,61,30,24,39,6,0,Moderate
Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,NA,105,24,66,34,27,41,7,0,Moderate
Maharashtra,Badlapur,BIWA Office,649,RIRuO,NA,98,34,146,86,58,120,23,59,Critical
Maharashtra,Chandrapur,Grampanchat Ghughus,267,RIRuO,NA,90,6,51,18,8,30,10,0,Low
Maharashtra,Chandrapur,M.I.D.C. Chandrapur,281,RIRuO,NA,102,7,70,22,8,41,14,0,Moderate
Maharashtra,Chandrapur,Nagar Parishad,396,RIRuO,NA,100,7,56,21,8,38,12,0,Moderate
Maharashtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,NA,56,6,48,18,8,31,11,0,Low
Maharashtra,Chandrapur,"MIDC, Tadali",638,RIRuO,NA,88,6,59,15,8,23,8,0,Low
Maharashtra,Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,NA,86,6,39,18,8,31,9,0,Low
