State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharashtra,Kolhapur,"University Campus, Shivaji University,",508,ES (Sahyadri),101,42,64,54,48,55,60,5,0,Moderate
Maharashtra,Kolhapur,"Ruikar Trust, Dabholkar Corner, ST Stand",509,ES (Sahyadri),92,76,137,104,83,102,126,15,60,Critical
Maharashtra,Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",510,ES (Sahyadri),102,65,127,92,73,92,108,13,26,Critical
Maharashtra,Latur,MIDC Water Works,641,RIRuO,99,19,174,85,33,87,126,35,34,High
Maharashtra,Latur,Terrace of Kshewraj Vidyalaya Shyamna-gar,642,RIRuO,104,29,224,126,88,122,177,34,83,Critical
Maharashtra,Latur,Terrace of Sidhheshwar Sahakari BankGanjgolai,643,RIRuO,61,55,233,108,69,105,148,34,56,Critical
Maharashtra,Lote,MIDC Chalkewadi,489,RIRuO,12,54,247,129,62,119,198,60,58,Null
Maharashtra,Lote,"Pump House, CETP",490,RIRuO,18,20,301,109,28,101,198,74,50,Null
Maharashtra,Mahad,"Water treatment  plant, Bhirwadi",569,RIRuO,66,33,210,94,45,90,142,38,39,Critical
Maharashtra,Mahad,"EHS, M/s Privi organics Ltd",570,RIRuO,56,24,159,89,43,88,138,35,43,High
Maharashtra,Mahad,"Mahatma Phule Hall, MNP",571,RIRuO,50,33,234,97,48,89,152,46,44,Critical
Maharashtra,Mumbai,Kalbadevi,169,RIRuO,83,28,177,78,35,72,143,40,28,High
Maharashtra,Mumbai,"Parel , Ambedkar Road",170,RIRuO,98,38,339,113,50,93,202,62,45,Critical
Maharashtra,Mumbai,Worli,349,RIRuO,103,22,217,100,45,100,150,43,64,Critical
Maharashtra,Nagpur,Institution of Engineers,287,RIRuO,87,41,329,110,67,101,164,46,51,Critical
Maharashtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,88,37,360,104,62,96,154,45,45,Critical
