state,year,month,aqi
23,1992,9,200.0
26,1992,9,204.16666666666666
0,1992,10,216.0
2,1992,10,200.0
3,1992,10,278.0
8,1992,10,227.0
9,1992,10,217.0
11,1992,10,200.0
12,1992,10,200.0
13,1992,10,231.77777777777777
20,1992,10,238.8
21,1992,10,262.0
26,1992,10,210.33333333333334
0,1992,11,232.6
2,1992,11,200.0
3,1992,11,200.0
7,1992,11,200.0
8,1992,11,237.5
9,1992,11,218.66666666666666
11,1992,11,200.0
12,1992,11,204.5
13,1992,11,290.94117647058823
20,1992,11,230.33333333333334
21,1992,11,200.0
23,1992,11,200.0
26,1992,11,243.0
0,1992,12,249.5
2,1992,12,200.0
3,1992,12,200.0
7,1992,12,200.0
8,1992,12,310.0
9,1992,12,244.66666666666666
11,1992,12,200.0
12,1992,12,205.4
13,1992,12,282.6666666666667
20,1992,12,262.3333333333333
21,1992,12,201.0
26,1992,12,309.0
0,1993,1,200.0
2,1993,1,200.0
3,1993,1,200.0
6,1993,1,200.0
8,1993,1,200.0
11,1993,1,200.0
12,1993,1,200.0
13,1993,1,200.0
14,1993,1,200.0
19,1993,1,200.0
21,1993,1,200.0
23,1993,1,200.0
24,1993,1,248.2941176470588
26,1993,1,206.53333333333333
0,1993,2,200.0
2,1993,2,200.0
3,1993,2,200.0
6,1993,2,200.0
8,1993,2,200.0
11,1993,2,200.0
12,1993,2,200.0
13,1993,2,237.15384615384616
14,1993,2,200.0
19,1993,2,200.0
21,1993,2,200.0
23,1993,2,200.0
24,1993,2,245.88235294117646
26,1993,2,200.0
0,1993,3,200.0
2,1993,3,200.0
3,1993,3,200.0
6,1993,3,200.0
8,1993,3,200.0
11,1993,3,200.0
12,1993,3,200.0
13,1993,3,200.0
14,1993,3,200.0
19,1993,3,200.0
21,1993,3,200.0
23,1993,3,200.0
24,1993,3,315.2352941176471
26,1993,3,200.0
0,1993,4,200.0
2,1993,4,200.0
3,1993,4,200.0
4,1993,4,200.0
6,1993,4,200.0
8,1993,4,200.0
11,1993,4,200.0
12,1993,4,200.0
13,1993,4,200.0
14,1993,4,200.0
19,1993,4,200.0
21,1993,4,200.0
23,1993,4,200.0
24,1993,4,269.53333333333336
26,1993,4,200.0
0,1993,5,200.0
2,1993,5,200.0
3,1993,5,200.0
4,1993,5,200.0
6,1993,5,200.0
8,1993,5,200.0
11,1993,5,200.0
12,1993,5,200.0
13,1993,5,200.0
14,1993,5,200.0
19,1993,5,200.0
21,1993,5,200.0
23,1993,5,200.0
24,1993,5,215.06666666666666
26,1993,5,200.0
0,1993,6,200.0
2,1993,6,200.0
3,1993,6,235.75
4,1993,6,200.0
6,1993,6,200.0
8,1993,6,200.0
11,1993,6,200.0
12,1993,6,200.0
13,1993,6,200.0
14,1993,6,200.0
19,1993,6,200.0
21,1993,6,200.0
23,1993,6,200.0
24,1993,6,339.06666666666666
26,1993,6,200.0
0,1993,7,200.0
2,1993,7,200.0
3,1993,7,200.0
4,1993,7,200.0
6,1993,7,200.0
8,1993,7,200.0
11,1993,7,200.0
12,1993,7,200.0
14,1993,7,200.0
19,1993,7,200.0
21,1993,7,200.0
23,1993,7,200.0
24,1993,7,235.76470588235293
26,1993,7,202.91666666666666
0,1993,8,200.0
2,1993,8,200.0
3,1993,8,200.0
4,1993,8,200.0
6,1993,8,200.0
8,1993,8,220.0
11,1993,8,200.0
12,1993,8,200.0
13,1993,8,200.0
14,1993,8,200.0
19,1993,8,200.0
21,1993,8,200.0
23,1993,8,200.0
24,1993,8,260.1
26,1993,8,202.84285714285716
0,1993,9,200.0
2,1993,9,200.0
3,1993,9,200.0
4,1993,9,200.0
6,1993,9,200.0
8,1993,9,212.0
11,1993,9,200.0
12,1993,9,200.0
14,1993,9,200.0
19,1993,9,200.0
21,1993,9,200.0
23,1993,9,200.0
24,1993,9,254.6875
26,1993,9,202.95555555555555
0,1993,10,200.0
2,1993,10,265.0
3,1993,10,200.0
4,1993,10,200.0
5,1993,10,200.0
6,1993,10,200.0
8,1993,10,200.0
11,1993,10,200.0
12,1993,10,200.0
13,1993,10,200.0
14,1993,10,200.0
19,1993,10,200.0
21,1993,10,200.0
23,1993,10,200.0
24,1993,10,297.5625
26,1993,10,200.5
0,1993,11,200.0
2,1993,11,267.25
3,1993,11,200.0
4,1993,11,200.0
5,1993,11,200.0
6,1993,11,200.0
8,1993,11,200.0
11,1993,11,200.0
12,1993,11,200.0
13,1993,11,200.0
14,1993,11,200.0
19,1993,11,200.0
21,1993,11,219.5
23,1993,11,200.0
24,1993,11,349.125
26,1993,11,203.1888888888889
0,1993,12,200.0
2,1993,12,240.25
3,1993,12,200.0
4,1993,12,200.0
5,1993,12,200.0
6,1993,12,200.0
7,1993,12,200.0
8,1993,12,259.0
11,1993,12,200.0
12,1993,12,200.0
13,1993,12,200.0
14,1993,12,200.0
19,1993,12,200.0
21,1993,12,200.0
23,1993,12,200.0
24,1993,12,340.25
26,1993,12,317.34285714285716
0,1994,1,200.0
2,1994,1,235.75
3,1994,1,365.5
4,1994,1,232.5
